Date,Sales
2022-01-01,1107
2022-01-02,922
2022-01-03,1470
2022-01-04,1586
2022-01-05,1257
2022-01-06,1474
2022-01-07,1758
2022-01-08,1960
2022-01-09,2323
2022-01-10,2472
2022-01-11,2485
2022-01-12,2929
2022-01-13,3062
2022-01-14,3051
2022-01-15,3069
2022-01-16,3638
2022-01-17,3443
2022-01-18,3984
2022-01-19,4111
2022-01-20,4319
2022-01-21,4368
2022-01-22,4435
2022-01-23,4428
2022-01-24,4455
2022-01-25,4976
2022-01-26,4871
2022-01-27,4953
2022-01-28,5250
2022-01-29,5698
2022-01-30,5958
2022-01-31,5793
2022-02-01,6179
2022-02-02,6535
2022-02-03,6404
2022-02-04,6619
2022-02-05,6829
2022-02-06,7104
2022-02-07,7053
2022-02-08,7541
2022-02-09,7397
2022-02-10,7447
2022-02-11,7858
2022-02-12,8074
2022-02-13,8456
2022-02-14,8416
2022-02-15,8545
2022-02-16,9061
2022-02-17,9293
2022-02-18,9373
2022-02-19,9430
2022-02-20,9868
2022-02-21,9656
2022-02-22,9969
2022-02-23,10210
2022-02-24,10685
2022-02-25,10737
2022-02-26,11005
2022-02-27,11122
2022-02-28,11290
2022-03-01,11146
2022-03-02,11347
2022-03-03,11426
2022-03-04,11736
2022-03-05,11993
2022-03-06,12161
2022-03-07,11948
2022-03-08,12107
2022-03-09,12464
2022-03-10,12586
2022-03-11,12924
2022-03-12,13106
2022-03-13,13164
2022-03-14,13404
2022-03-15,13570
2022-03-16,13533
2022-03-17,13616
2022-03-18,13816
2022-03-19,14406
2022-03-20,14391
2022-03-21,14711
2022-03-22,14943
2022-03-23,14657
2022-03-24,14905
2022-03-25,15247
2022-03-26,15315
2022-03-27,15703
2022-03-28,15888
2022-03-29,15933
2022-03-30,16124
2022-03-31,16135
2022-04-01,16047
2022-04-02,16445
2022-04-03,16415
2022-04-04,16553
2022-04-05,16622
2022-04-06,16841
2022-04-07,17427
2022-04-08,17289
2022-04-09,17577
2022-04-10,17879
2022-04-11,18145
2022-04-12,18042
2022-04-13,18297
2022-04-14,18793
2022-04-15,18771
2022-04-16,18869
2022-04-17,18850
2022-04-18,19152
2022-04-19,19547
2022-04-20,19661
2022-04-21,20004
2022-04-22,20042
2022-04-23,20435
2022-04-24,20638
2022-04-25,20659
2022-04-26,21255
2022-04-27,21148
2022-04-28,21597
2022-04-29,21541
2022-04-30,21302
2022-05-01,21823
2022-05-02,22208
2022-05-03,22062
2022-05-04,22551
2022-05-05,22890
2022-05-06,22955
2022-05-07,22911
2022-05-08,23257
2022-05-09,23377
2022-05-10,23343
2022-05-11,23309
2022-05-12,23494
2022-05-13,23786
2022-05-14,23800
2022-05-15,23782
2022-05-16,24104
2022-05-17,24560
2022-05-18,24691
2022-05-19,24575
2022-05-20,24944
2022-05-21,25017
2022-05-22,25212
2022-05-23,25382
2022-05-24,25813
2022-05-25,26117
2022-05-26,26204
2022-05-27,26195
2022-05-28,26514
2022-05-29,26740
2022-05-30,26949
2022-05-31,26918
2022-06-01,27119
2022-06-02,27495
2022-06-03,27695
2022-06-04,27866
2022-06-05,27874
2022-06-06,27863
2022-06-07,28077
2022-06-08,28129
2022-06-09,28099
2022-06-10,28825
2022-06-11,28750
2022-06-12,28879
2022-06-13,29290
2022-06-14,29193
2022-06-15,29357
2022-06-16,29686
2022-06-17,29617
2022-06-18,30308
